upzila,year,revenue,previous_year_revenue,yoy_growth
Barisal,2014,1019850.25,null,null
Barisal,2015,1076902.75,1019850.25,5.59
Barisal,2016,1072496.75,1076902.75,-0.41
Barisal,2017,1058423.75,1072496.75,-1.31
Barisal,2018,1080557.75,1058423.75,2.09
Barisal,2019,1063524.5,1080557.75,-1.58
Barisal,2020,1083786.75,1063524.5,1.91
Barisal,2021,64801.25,1083786.75,-94.02
Chittagong,2014,2669367,null,null
Chittagong,2015,2836110.5,2669367,6.25
Chittagong,2016,2815740,2836110.5,-0.72
Chittagong,2017,2840594.5,2815740,0.88
Chittagong,2018,2832253.5,2840594.5,-0.29
Chittagong,2019,2795566.75,2832253.5,-1.3
Chittagong,2020,2802030,2795566.75,0.23
Chittagong,2021,171932.75,2802030,-93.86
Dhaka,2014,5570228.75,null,null
Dhaka,2015,5865078.75,5570228.75,5.29
Dhaka,2016,5764939.5,5865078.75,-1.71
Dhaka,2017,5783097.5,5764939.5,0.31
Dhaka,2018,5843827,5783097.5,1.05
Dhaka,2019,5776387.5,5843827,-1.15
Dhaka,2020,5820040.25,5776387.5,0.76
Dhaka,2021,341020.5,5820040.25,-94.14
Khulna,2014,1541362.75,null,null
Khulna,2015,1624721.25,1541362.75,5.41
Khulna,2016,1603501.75,1624721.25,-1.31
Khulna,2017,1612215,1603501.75,0.54
Khulna,2018,1621000.5,1612215,0.54
Khulna,2019,1603156.25,1621000.5,-1.1
Khulna,2020,1611895,1603156.25,0.55
Khulna,2021,93758,1611895,-94.18
Rajshahi,2014,1641386,null,null
Rajshahi,2015,1729943,1641386,5.4
Rajshahi,2016,1730120.25,1729943,0.01
Rajshahi,2017,1725582,1730120.25,-0.26
Rajshahi,2018,1718710.25,1725582,-0.4
Rajshahi,2019,1724550.5,1718710.25,0.34
Rajshahi,2020,1729740,1724550.5,0.3
Rajshahi,2021,99164,1729740,-94.27
Rangpur,2014,1147858.5,null,null
Rangpur,2015,1181123.25,1147858.5,2.9
Rangpur,2016,1188820.75,1181123.25,0.65
Rangpur,2017,1206250.5,1188820.75,1.47
Rangpur,2018,1215056.25,1206250.5,0.73
Rangpur,2019,1209593.5,1215056.25,-0.45
Rangpur,2020,1209550.25,1209593.5,0
Rangpur,2021,71583.5,1209550.25,-94.08
Sylhet,2014,744678,null,null
Sylhet,2015,781840.75,744678,4.99
Sylhet,2016,800889.25,781840.75,2.44
Sylhet,2017,789642.75,800889.25,-1.4
Sylhet,2018,796792,789642.75,0.91
Sylhet,2019,776731.25,796792,-2.52
Sylhet,2020,780148,776731.25,0.44
Sylhet,2021,41512.25,780148,-94.68
